син	165
тази	16
да	10
има	7
през	6
след	6
по	6
като	6
тогава	5
дори	5
нека	5
искам	5
при	5
оставам	4
нали	4
ето	4
дали	4
всъщност	4
майка	4
намирам	3
правя	3
сред	3
твърде	3
пак	3
още	3
чакам	3
така	3
все	3
както	3
хора	3
изобщо	3
преди	3
повече	3
вече	3
отново	3
аз	3
ще	3
това	3
скоро	3
пътувам	3
право	3
си	3
към	3
кажа	3
положение	3
пред	3
някой	3
подготовка	3
съм	3
понякога	3
прекалено	3
например	3
остава	2
над	2
под	2
дясно	2
десен	2
оплаквам се	2
начало	2
заема	2
опасно	2
късо	2
коса	2
няколко	2
местност	2
седмица	2
вчера	2
днес	2
знача	2
докато	2
уморен	2
късно	2
вероятно	2
всеки	2
среща	2
ден	2
че	2
играя	2
живот	2
цял	2
сам	2
заради	2
също	2
доста	2
избера	2
сигурно	2
питам	2
малко	2
се	2
ли	2
ти	2
имам	2
сменя	2
според	2
ами	2
пък	2
колкото	2
разбира се	2
тегля	2
наистина	2
опитвам	2
май	2
освен	2
отговарям	2
помощ	2
ставам	2
пристигам	2
харесвам	2
получа	2
защото	2
защо	2
зная	2
знам	2
община	2
онова	2
желая	2
то	2
прав	2
просто	2
давам	2
движение	2
забравям	2
забравя	2
нося	2
никога	2
намира	2
там	2
неща	2
остана	2
добре	2
приятел	2
казах	2
чужбина	2
час	2
казвам	2
виждам	2
за	2
от	2
ако	2
време	2
само	2
във	2
когато	2
тези	2
място	2
български	2
дете	2
път	2
между	2
как	2
какво	2
въпрос	2
случай	2
всичко	2
човек	2
около	2
обаче	2
нещо	2
град	2
дума	2
използвам	2
своя	2
име	2
жена	2
винаги	2
затова	2
заедно	2
член	2
почти	2
ниво	2
кой	2
лесно	2
спрямо	2
отколкото	2
нужда	2
по-късно	2
причина	2
близо	2
може	2
трудно	2
възможно	2
очаквам	2
разлика	2
трябва	2
село	2
започна	2
изпратя	2
градски	1
стоя	1
рано	1
добави	1
допринасям	1
разстройвам	1
свързвам	1
отдели	1
книжка	1
ида	1
отивам	1
отида	1
планина	1
чист	1
ляво	1
дясна	1
мотор	1
пеш	1
вървя	1
грешен	1
погрешно	1
заемам	1
пристигане	1
глоба	1
Велико	1
редовен	1
къс	1
отиде	1
спя	1
какъв	1
изпусна	1
четвъртък	1
петък	1
събота	1
неделя	1
понеделник	1
вторник	1
завчера	1
вдругиден	1
утре	1
накрая	1
все пак	1
спра	1
постилам	1
намеря	1
дето	1
мяу	1
спира	1
спирка	1
някъде	1
далече	1
редом	1
чувствам	1
по дяволите	1
помпа	1
радост	1
звезда	1
насилие	1
ябълка	1
избирам	1
имам нужда	1
сваля	1
каквото и да е	1
абзац	1
изпробвам	1
вкусвам	1
макар	1
освен това	1
късмет	1
след малко	1
сменям	1
литър	1
резервен	1
суша	1
наливам	1
чета	1
чупя	1
отслабвам	1
напускам	1
украсявам	1
смуча	1
двамата	1
бива	1
завършвам	1
затварям	1
буквар	1
буква	1
какъвто	1
тръгвам	1
помагам	1
събуждам	1
бръсна	1
бърша	1
събувам	1
обувам	1
събличам	1
обличам	1
стрелям	1
пека	1
боядисвам	1
рисувам	1
слагам	1
пържа	1
преподавам	1
бера	1
черпя	1
спирам	1
връщам	1
лъжа	1
къпя	1
присъствам	1
отсъствам	1
качвам	1
карам	1
готвя	1
гледам	1
поръчвам	1
приготвям	1
помня	1
дължа	1
строя	1
броя	1
преди всичко	1
първо	1
хубаво	1
надпис	1
мой	1
чифт	1
радостен	1
тъжен	1
раста	1
главно	1
сякаш	1
разказвам	1
понеже	1
установявам	1
кон	1
замък	1
разглеждане	1
интересувам	1
тире	1
играе	1
закрит	1
открит	1
отпред	1
бидон	1
кино	1
седна	1
седя	1
покажа	1
колело	1
направи	1
пътуване	1
внимавам	1
внимавай	1
против	1
бряг	1
куфар	1
пътеводител	1
занимание	1
наеме	1
наема	1
някога	1
занимавам	1
движа	1
ходя	1
тъкмо	1
изляза	1
излиза	1
излизам	1
влизам	1
ела	1
покупка	1
учителка	1
бижу	1
евентуален	1
евентуално	1
ужасно	1
адски	1
естествено	1
действително	1
кат	1
покрив	1
покрива	1
мазе	1
горе	1
долу	1
особено	1
работа	1
шосе	1
шеф	1
обед	1
удобно	1
настроение	1
стол	1
звъня	1
брой	1
брадичка	1
страна	1
държава	1
рокля	1
дрехи	1
храня се	1
гладен	1
въобще	1
предпочитам	1
поканен	1
изучаване	1
застраховане	1
застраховам	1
боли	1
бода	1
боля	1
легна	1
виждам се	1
здраве	1
врата	1
на	1
не	1
които	1
мога	1
или	1
до	1
но	1
година	1
г.	1
който	1
много	1
което	1
друг	1
която	1
всички	1
му	1
този	1
България	1
трябвам	1
със	1
нов	1
ви	1
той	1
го	1
един	1
те	1
ни	1
им	1
нямам	1
част	1
ми	1
възможност	1
тя	1
без	1
система	1
проект	1
голям	1
върху	1
информация	1
него	1
чрез	1
програма	1
дейност	1
едно	1
свят	1
различен	1
първи	1
развитие	1
цел	1
София	1
лице	1
начин	1
момент	1
услуга	1
ние	1
решение	1
цена	1
компания	1
проблем	1
данна	1
сега	1
група	1
някои	1
месец	1
бизнес	1
продукт	1
срещу	1
тук	1
организация	1
условие	1
резултат	1
малък	1
управление	1
толкова	1
където	1
добър	1
книга	1
нея	1
област	1
съвет	1
фирма	1
отношение	1
период	1
участие	1
предлагам	1
работя	1
Европа	1
среда	1
форма	1
вид	1
пара	1
пазар	1
трия	1
същи	1
ме	1
връзка	1
край	1
център	1
интернет	1
тема	1
мен	1
две	1
стана	1
обучение	1
клиент	1
тъй	1
потребител	1
два	1
средство	1
сила	1
идея	1
въпреки	1
история	1
свържа	1
промяна	1
изпълнение	1
точка	1
следвам	1
образование	1
последен	1
октомври	1
процес	1
основен	1
лев	1
действие	1
интерес	1
материал	1
качество	1
мрежа	1
защита	1
вас	1
опит	1
срок	1
практика	1
създаване	1
изискване	1
гражданин	1
език	1
училище	1
избор	1
рамка	1
често	1
определя	1
общество	1
получавам	1
нищо	1
студент	1
разход	1
точно	1
ЕС	1
вие	1
производство	1
ред	1
документ	1
било	1
служител	1
сигурност	1
достъп	1
модел	1
показвам	1
култура	1
карта	1
сметка	1
предложение	1
съдържание	1
септември	1
поне	1
поради	1
вода	1
участвам	1
използване	1
колко	1
политика	1
дом	1
започвам	1
млад	1
закон	1
контрол	1
изключително	1
икономика	1
степен	1
събитие	1
орган	1
именно	1
представител	1
роля	1
евро	1
обект	1
относно	1
изследване	1
план	1
Пловдив	1
САЩ	1
награда	1
по-малко	1
напълно	1
двете	1
сграда	1
включвам	1
игра	1
ясно	1
труд	1
европейски	1
означавам	1
семейство	1
